latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-34.875,-56.25,31.0,-10800,America/Sao_Paulo,-03

time,temperature_2m_max (°C),temperature_2m_min (°C),sunrise (iso8601),sunset (iso8601),uv_index_max ()
2022-08-01,NaN,NaN,2022-08-01T07:38,2022-08-01T18:03,NaN
2022-08-02,NaN,NaN,2022-08-02T07:37,2022-08-02T18:04,NaN
2022-08-03,NaN,NaN,2022-08-03T07:37,2022-08-03T18:04,NaN
2022-08-04,NaN,NaN,2022-08-04T07:36,2022-08-04T18:05,NaN
2022-08-05,NaN,NaN,2022-08-05T07:35,2022-08-05T18:06,NaN
2022-08-06,NaN,NaN,2022-08-06T07:34,2022-08-06T18:07,NaN
2022-08-07,NaN,NaN,2022-08-07T07:33,2022-08-07T18:07,NaN
2022-08-08,NaN,NaN,2022-08-08T07:32,2022-08-08T18:08,NaN
2022-08-09,NaN,NaN,2022-08-09T07:31,2022-08-09T18:09,NaN
2022-08-10,NaN,NaN,2022-08-10T07:30,2022-08-10T18:09,NaN
2022-08-11,NaN,NaN,2022-08-11T07:29,2022-08-11T18:10,NaN
2022-08-12,NaN,NaN,2022-08-12T07:28,2022-08-12T18:11,NaN
2022-08-13,NaN,NaN,2022-08-13T07:27,2022-08-13T18:12,NaN
2022-08-14,NaN,NaN,2022-08-14T07:25,2022-08-14T18:12,NaN
2022-08-15,NaN,NaN,2022-08-15T07:24,2022-08-15T18:13,NaN
2022-08-16,NaN,NaN,2022-08-16T07:23,2022-08-16T18:14,NaN
2022-08-17,NaN,NaN,2022-08-17T07:22,2022-08-17T18:15,NaN
2022-08-18,NaN,NaN,2022-08-18T07:21,2022-08-18T18:15,NaN
2022-08-19,NaN,NaN,2022-08-19T07:20,2022-08-19T18:16,NaN
2022-08-20,NaN,NaN,2022-08-20T07:18,2022-08-20T18:17,NaN
2022-08-21,NaN,NaN,2022-08-21T07:17,2022-08-21T18:18,NaN
2022-08-22,NaN,NaN,2022-08-22T07:16,2022-08-22T18:18,NaN
2022-08-23,NaN,NaN,2022-08-23T07:15,2022-08-23T18:19,NaN
2022-08-24,NaN,NaN,2022-08-24T07:13,2022-08-24T18:20,NaN
2022-08-25,NaN,NaN,2022-08-25T07:12,2022-08-25T18:20,NaN
2022-08-26,NaN,NaN,2022-08-26T07:11,2022-08-26T18:21,NaN
2022-08-27,NaN,NaN,2022-08-27T07:10,2022-08-27T18:22,NaN
2022-08-28,NaN,NaN,2022-08-28T07:08,2022-08-28T18:23,NaN
2022-08-29,NaN,NaN,2022-08-29T07:07,2022-08-29T18:23,NaN
2022-08-30,NaN,NaN,2022-08-30T07:06,2022-08-30T18:24,NaN
2022-08-31,NaN,NaN,2022-08-31T07:04,2022-08-31T18:25,NaN
2022-09-01,NaN,NaN,2022-09-01T07:03,2022-09-01T18:25,NaN
2022-09-02,NaN,NaN,2022-09-02T07:02,2022-09-02T18:26,NaN
2022-09-03,NaN,NaN,2022-09-03T07:00,2022-09-03T18:27,NaN
2022-09-04,NaN,NaN,2022-09-04T06:59,2022-09-04T18:28,NaN
2022-09-05,NaN,NaN,2022-09-05T06:58,2022-09-05T18:28,NaN
2022-09-06,NaN,NaN,2022-09-06T06:56,2022-09-06T18:29,NaN
2022-09-07,NaN,NaN,2022-09-07T06:55,2022-09-07T18:30,NaN
2022-09-08,NaN,NaN,2022-09-08T06:53,2022-09-08T18:30,NaN
2022-09-09,NaN,NaN,2022-09-09T06:52,2022-09-09T18:31,NaN
2022-09-10,NaN,NaN,2022-09-10T06:50,2022-09-10T18:32,NaN
2022-09-11,NaN,NaN,2022-09-11T06:49,2022-09-11T18:33,NaN
2022-09-12,NaN,NaN,2022-09-12T06:48,2022-09-12T18:33,NaN
2022-09-13,NaN,NaN,2022-09-13T06:46,2022-09-13T18:34,NaN
2022-09-14,NaN,NaN,2022-09-14T06:45,2022-09-14T18:35,NaN
2022-09-15,NaN,NaN,2022-09-15T06:43,2022-09-15T18:35,NaN
2022-09-16,NaN,NaN,2022-09-16T06:42,2022-09-16T18:36,NaN
2022-09-17,NaN,NaN,2022-09-17T06:40,2022-09-17T18:37,NaN
2022-09-18,NaN,NaN,2022-09-18T06:39,2022-09-18T18:38,NaN
2022-09-19,NaN,NaN,2022-09-19T06:38,2022-09-19T18:38,NaN
2022-09-20,NaN,NaN,2022-09-20T06:36,2022-09-20T18:39,NaN
2022-09-21,NaN,NaN,2022-09-21T06:35,2022-09-21T18:40,NaN
2022-09-22,NaN,NaN,2022-09-22T06:33,2022-09-22T18:41,NaN
2022-09-23,NaN,NaN,2022-09-23T06:32,2022-09-23T18:41,NaN
2022-09-24,NaN,NaN,2022-09-24T06:30,2022-09-24T18:42,NaN
2022-09-25,NaN,NaN,2022-09-25T06:29,2022-09-25T18:43,NaN
2022-09-26,NaN,NaN,2022-09-26T06:28,2022-09-26T18:44,NaN
2022-09-27,NaN,NaN,2022-09-27T06:26,2022-09-27T18:44,NaN
2022-09-28,NaN,NaN,2022-09-28T06:25,2022-09-28T18:45,NaN
2022-09-29,NaN,NaN,2022-09-29T06:23,2022-09-29T18:46,NaN
2022-09-30,NaN,NaN,2022-09-30T06:22,2022-09-30T18:47,NaN
2022-10-01,NaN,NaN,2022-10-01T06:20,2022-10-01T18:47,NaN
2022-10-02,NaN,NaN,2022-10-02T06:19,2022-10-02T18:48,NaN
2022-10-03,NaN,NaN,2022-10-03T06:18,2022-10-03T18:49,NaN
2022-10-04,NaN,NaN,2022-10-04T06:16,2022-10-04T18:50,NaN
2022-10-05,NaN,NaN,2022-10-05T06:15,2022-10-05T18:50,NaN
2022-10-06,NaN,NaN,2022-10-06T06:13,2022-10-06T18:51,NaN
2022-10-07,NaN,NaN,2022-10-07T06:12,2022-10-07T18:52,NaN
2022-10-08,NaN,NaN,2022-10-08T06:11,2022-10-08T18:53,NaN
2022-10-09,NaN,NaN,2022-10-09T06:09,2022-10-09T18:54,NaN
2022-10-10,NaN,NaN,2022-10-10T06:08,2022-10-10T18:54,NaN
2022-10-11,NaN,NaN,2022-10-11T06:07,2022-10-11T18:55,NaN
2022-10-12,NaN,NaN,2022-10-12T06:05,2022-10-12T18:56,NaN
2022-10-13,NaN,NaN,2022-10-13T06:04,2022-10-13T18:57,NaN
2022-10-14,NaN,NaN,2022-10-14T06:03,2022-10-14T18:58,NaN
2022-10-15,NaN,NaN,2022-10-15T06:02,2022-10-15T18:59,NaN
2022-10-16,NaN,NaN,2022-10-16T06:00,2022-10-16T18:59,NaN
2022-10-17,NaN,NaN,2022-10-17T05:59,2022-10-17T19:00,NaN
2022-10-18,NaN,NaN,2022-10-18T05:58,2022-10-18T19:01,NaN
2022-10-19,NaN,NaN,2022-10-19T05:56,2022-10-19T19:02,NaN
2022-10-20,NaN,NaN,2022-10-20T05:55,2022-10-20T19:03,NaN
2022-10-21,NaN,NaN,2022-10-21T05:54,2022-10-21T19:04,NaN
2022-10-22,NaN,NaN,2022-10-22T05:53,2022-10-22T19:05,NaN
2022-10-23,NaN,NaN,2022-10-23T05:52,2022-10-23T19:06,NaN
2022-10-24,NaN,NaN,2022-10-24T05:50,2022-10-24T19:06,NaN
2022-10-25,NaN,NaN,2022-10-25T05:49,2022-10-25T19:07,NaN
2022-10-26,NaN,NaN,2022-10-26T05:48,2022-10-26T19:08,NaN
2022-10-27,NaN,NaN,2022-10-27T05:47,2022-10-27T19:09,NaN
2022-10-28,NaN,NaN,2022-10-28T05:46,2022-10-28T19:10,NaN
2022-10-29,NaN,NaN,2022-10-29T05:45,2022-10-29T19:11,NaN
2022-10-30,NaN,NaN,2022-10-30T05:44,2022-10-30T19:12,NaN
2022-10-31,NaN,NaN,2022-10-31T05:43,2022-10-31T19:13,NaN
2022-11-01,NaN,NaN,2022-11-01T05:42,2022-11-01T19:14,NaN
2022-11-02,NaN,NaN,2022-11-02T05:41,2022-11-02T19:15,NaN
2022-11-03,NaN,NaN,2022-11-03T05:40,2022-11-03T19:16,NaN
2022-11-04,23.3,9.5,2022-11-04T05:39,2022-11-04T19:17,NaN
2022-11-05,25.3,10.8,2022-11-05T05:38,2022-11-05T19:18,NaN
2022-11-06,26.6,11.8,2022-11-06T05:37,2022-11-06T19:19,NaN
2022-11-07,26.6,11.6,2022-11-07T05:36,2022-11-07T19:20,NaN
2022-11-08,26.4,11.0,2022-11-08T05:35,2022-11-08T19:21,NaN
2022-11-09,27.3,10.8,2022-11-09T05:35,2022-11-09T19:22,NaN
2022-11-10,30.0,12.4,2022-11-10T05:34,2022-11-10T19:23,NaN
2022-11-11,30.3,14.5,2022-11-11T05:33,2022-11-11T19:24,NaN
2022-11-12,30.2,15.1,2022-11-12T05:32,2022-11-12T19:25,NaN
2022-11-13,27.9,16.9,2022-11-13T05:32,2022-11-13T19:26,NaN
2022-11-14,20.1,17.0,2022-11-14T05:31,2022-11-14T19:27,NaN
2022-11-15,26.0,16.3,2022-11-15T05:30,2022-11-15T19:28,NaN
2022-11-16,29.1,14.7,2022-11-16T05:30,2022-11-16T19:29,NaN
2022-11-17,26.4,20.6,2022-11-17T05:29,2022-11-17T19:30,NaN
2022-11-18,26.2,19.8,2022-11-18T05:28,2022-11-18T19:31,NaN
2022-11-19,32.3,20.4,2022-11-19T05:28,2022-11-19T19:31,NaN
2022-11-20,30.1,19.7,2022-11-20T05:27,2022-11-20T19:32,NaN
2022-11-21,19.7,17.4,2022-11-21T05:27,2022-11-21T19:33,NaN
2022-11-22,18.8,15.6,2022-11-22T05:26,2022-11-22T19:34,NaN
2022-11-23,27.0,14.5,2022-11-23T05:26,2022-11-23T19:35,NaN
2022-11-24,29.3,17.7,2022-11-24T05:26,2022-11-24T19:36,NaN
2022-11-25,22.3,18.0,2022-11-25T05:25,2022-11-25T19:37,NaN
2022-11-26,27.0,18.1,2022-11-26T05:25,2022-11-26T19:38,NaN
2022-11-27,28.5,19.4,2022-11-27T05:25,2022-11-27T19:39,NaN
2022-11-28,31.4,19.5,2022-11-28T05:24,2022-11-28T19:40,NaN
2022-11-29,31.8,19.3,2022-11-29T05:24,2022-11-29T19:41,NaN
2022-11-30,29.6,19.2,2022-11-30T05:24,2022-11-30T19:42,NaN
2022-12-01,23.7,20.0,2022-12-01T05:24,2022-12-01T19:43,NaN
2022-12-02,21.0,17.9,2022-12-02T05:24,2022-12-02T19:44,NaN
2022-12-03,22.0,15.1,2022-12-03T05:24,2022-12-03T19:45,NaN
2022-12-04,25.6,19.3,2022-12-04T05:23,2022-12-04T19:46,NaN
2022-12-05,30.9,18.8,2022-12-05T05:23,2022-12-05T19:46,NaN
2022-12-06,33.0,19.2,2022-12-06T05:23,2022-12-06T19:47,NaN
2022-12-07,31.5,20.3,2022-12-07T05:23,2022-12-07T19:48,NaN
2022-12-08,31.3,21.6,2022-12-08T05:23,2022-12-08T19:49,NaN
2022-12-09,36.3,21.3,2022-12-09T05:24,2022-12-09T19:50,NaN
2022-12-10,26.0,19.6,2022-12-10T05:24,2022-12-10T19:50,NaN
2022-12-11,34.9,19.3,2022-12-11T05:24,2022-12-11T19:51,NaN
2022-12-12,23.4,17.9,2022-12-12T05:24,2022-12-12T19:52,NaN
2022-12-13,22.7,18.0,2022-12-13T05:24,2022-12-13T19:53,NaN
2022-12-14,30.7,16.3,2022-12-14T05:25,2022-12-14T19:53,NaN
2022-12-15,23.8,18.4,2022-12-15T05:25,2022-12-15T19:54,NaN
2022-12-16,19.7,16.9,2022-12-16T05:25,2022-12-16T19:55,NaN
2022-12-17,22.8,15.7,2022-12-17T05:26,2022-12-17T19:55,NaN
2022-12-18,25.6,15.5,2022-12-18T05:26,2022-12-18T19:56,NaN
2022-12-19,26.7,16.8,2022-12-19T05:26,2022-12-19T19:56,NaN
2022-12-20,27.6,17.4,2022-12-20T05:27,2022-12-20T19:57,NaN
2022-12-21,26.6,17.4,2022-12-21T05:27,2022-12-21T19:57,NaN
2022-12-22,30.0,17.7,2022-12-22T05:28,2022-12-22T19:58,NaN
2022-12-23,30.3,19.2,2022-12-23T05:28,2022-12-23T19:58,NaN
2022-12-24,22.1,18.5,2022-12-24T05:29,2022-12-24T19:59,NaN
2022-12-25,19.6,16.5,2022-12-25T05:30,2022-12-25T19:59,NaN
2022-12-26,22.1,13.5,2022-12-26T05:30,2022-12-26T20:00,NaN
2022-12-27,26.8,15.0,2022-12-27T05:31,2022-12-27T20:00,NaN
2022-12-28,26.7,18.6,2022-12-28T05:31,2022-12-28T20:00,NaN
2022-12-29,23.0,17.9,2022-12-29T05:32,2022-12-29T20:01,NaN
2022-12-30,31.9,16.3,2022-12-30T05:33,2022-12-30T20:01,NaN
2022-12-31,25.6,20.0,2022-12-31T05:33,2022-12-31T20:01,NaN
2023-01-01,34.7,18.4,2023-01-01T05:34,2023-01-01T20:01,NaN
2023-01-02,22.1,19.2,2023-01-02T05:35,2023-01-02T20:01,NaN
2023-01-03,28.9,16.7,2023-01-03T05:36,2023-01-03T20:01,NaN
2023-01-04,24.1,19.2,2023-01-04T05:37,2023-01-04T20:02,NaN
2023-01-05,27.7,15.6,2023-01-05T05:37,2023-01-05T20:02,NaN
2023-01-06,31.6,18.6,2023-01-06T05:38,2023-01-06T20:02,NaN
2023-01-07,30.5,18.6,2023-01-07T05:39,2023-01-07T20:02,NaN
2023-01-08,28.7,19.1,2023-01-08T05:40,2023-01-08T20:02,NaN
2023-01-09,26.4,18.6,2023-01-09T05:41,2023-01-09T20:02,NaN
2023-01-10,26.3,18.5,2023-01-10T05:42,2023-01-10T20:01,NaN
2023-01-11,26.3,19.5,2023-01-11T05:43,2023-01-11T20:01,NaN
2023-01-12,23.5,19.9,2023-01-12T05:44,2023-01-12T20:01,NaN
2023-01-13,25.0,18.0,2023-01-13T05:45,2023-01-13T20:01,NaN
2023-01-14,28.8,16.8,2023-01-14T05:46,2023-01-14T20:01,NaN
2023-01-15,31.9,19.7,2023-01-15T05:47,2023-01-15T20:01,NaN
2023-01-16,31.9,21.0,2023-01-16T05:48,2023-01-16T20:00,NaN
2023-01-17,31.2,20.6,2023-01-17T05:49,2023-01-17T20:00,NaN
2023-01-18,28.5,20.5,2023-01-18T05:50,2023-01-18T20:00,NaN
2023-01-19,31.1,21.1,2023-01-19T05:51,2023-01-19T19:59,NaN
2023-01-20,32.7,20.7,2023-01-20T05:52,2023-01-20T19:59,NaN
2023-01-21,26.6,22.5,2023-01-21T05:53,2023-01-21T19:58,NaN
2023-01-22,29.2,22.8,2023-01-22T05:54,2023-01-22T19:58,NaN
2023-01-23,25.2,20.8,2023-01-23T05:55,2023-01-23T19:57,NaN
2023-01-24,32.2,18.4,2023-01-24T05:56,2023-01-24T19:57,NaN
2023-01-25,29.3,21.7,2023-01-25T05:57,2023-01-25T19:56,NaN
2023-01-26,30.8,23.0,2023-01-26T05:58,2023-01-26T19:56,NaN
2023-01-27,29.6,22.5,2023-01-27T05:59,2023-01-27T19:55,NaN
2023-01-28,27.2,23.5,2023-01-28T06:00,2023-01-28T19:54,NaN
2023-01-29,25.1,22.4,2023-01-29T06:01,2023-01-29T19:54,NaN
2023-01-30,26.3,21.1,2023-01-30T06:02,2023-01-30T19:53,NaN
